Substrate,SMILES
copper ion,[Cu+2]
ribose,C1C(C(C(C(O1)O)O)O)O
TMAO,C[N+](C)(C)[O-]
glycine betaine,C[N+](C)(C)CC(=O)[O-]
L-proline,C1C[C@H](NC1)C(=O)O
polysaccharide (glycogen),C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]2C([C@@H]([C@H]([C@H](O2)OC3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)O)O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O
Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Coenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
potassium,[K]
L-lactate,CC(C(=O)[O-])O
D-galactose,C(C1C(C(C(C(O1)O)O)O)O)O
galactoside (Ideanin),C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O)O)O.[Cl-]
fructose,C1C(C(C(C(O1)(CO)O)O)O)O
multidrug efflux,
virulence factor MviN,
lipoprotein,
mannose,C(C1C(C(C(C(O1)O)O)O)O)O
fructose,C1C(C(C(C(O1)(CO)O)O)O)O
leucine,CC(C)CC(C(=O)O)N
valine,CC(C)C(C(=O)O)N
C4-dicarboxylate,
heme export,CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[Fe+2]
Vitamin B12,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
daunorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
oligopeptide,
glycerol-3-phosphate,C(C(COP(=O)(O)O)O)O
amino acid efflux,
aromatic amino acid,
tellurite,[O-][Te](=O)[O-]
multidrug efflux (SMR),
branched-chain amino acid efflux (AzlC),
zinc ion,[Zn+2]
branched-chain amino acid,
serine,C([C@@H](C(=O)O)N)O
threonine symporter,C[C@H]([C@@H](C(=O)O)N)O
